candidate_id,experience,num_skills,career_length,education_count,avg_skill_duration,total_endorsements,github,profile_complete,response_rate,response_time,saved,searches,connections,notice,interview_rate,production_ai_skills,avg_job_duration,job_hopper,production_score,startup_score,research_score,skill_experience_ratio,quality_score,technical_score,behavior_score,career_score,innovation_score,penalty,recruiter_score,confidence,final_score,rank
CAND_0001610,0.14285714285714285,18,0.25,1,51.0,480,0.5099502487562189,1.0,0.6091954022988504,38.6,1.0,306,1027,90,0.5714285714285714,1.0,0.21527777777777768,0,1.0,0.8,0,6.0,54.85000000000001,0.8529850746268656,0.8165845648604269,0.18948412698412695,0.8,0.0,0.6318819745688635,1.0,0.687099678383534,1
CAND_0001581,0.4214285714285715,14,0.25,1,30.0,187,0.7300995024875622,0.8643835616438353,0.21839080459770116,52.3,0.3584905660377358,142,610,30,0.39999999999999997,0.5714285714285714,0.361111111111111,0,1.0,0.4,0,2.0289855072463765,40.540000000000006,0.7904584221748401,0.5088300609323148,0.35793650793650794,0.4,0.0,0.547433508040526,0.8643835616438353,0.5949760160810225,2
CAND_0000981,0.3857142857142857,14,0.125,1,23.857142857142858,131,0.8868159203980098,0.8890410958904109,0.5862068965517242,116.5,0.018867924528301886,373,1181,120,0.8857142857142857,0.42857142857142855,0.5833333333333333,0,0.6000000000000001,0.6000000000000001,0,2.1875,50.71,0.6346162046908315,0.6386325497480924,0.3470238095238095,0.6000000000000001,0.0,0.5283289442069035,0.8890410958904109,0.5824357669594296,3
CAND_0000354,0.37857142857142856,13,0.25,1,28.76923076923077,206,0.654228855721393,0.6575342465753424,0.471264367816092,82.8,0.2830188679245283,323,444,60,0.9428571428571428,0.42857142857142855,0.3055555555555555,0,1.0,0.6000000000000001,0,2.063492063492064,46.35999999999999,0.7248400852878465,0.593128280411727,0.3253968253968254,0.6000000000000001,0.0,0.5499108965466905,0.6575342465753424,0.5660543990509882,4
CAND_0001575,0.3857142857142857,15,0.25,1,24.0,309,0.0,0.8643835616438353,0.5632183908045978,152.1,0.07547169811320754,101,203,90,0.6714285714285715,0.42857142857142855,0.31944444444444436,0,1.0,1.0,0,2.34375,41.42,0.5285714285714286,0.5927188981848476,0.33174603174603173,1.0,0.0,0.5129088590020489,0.8643835616438353,0.5656300643983169,5
CAND_0001384,0.6285714285714287,14,0.375,2,17.5,104,0.6218905472636815,0.7452054794520548,0.9195402298850575,134.4,0.2830188679245283,262,764,120,0.4428571428571429,0.14285714285714285,0.3958333333333333,0,0.8,0.4,0,1.4285714285714284,49.580000000000005,0.5494243070362475,0.6358821774358179,0.5059523809523809,0.4,0.0,0.5134342535397579,0.7452054794520548,0.5481999374266024,6
CAND_0000227,0.4714285714285714,15,0.375,2,23.666666666666668,219,0.5696517412935322,0.5712328767123287,0.3448275862068966,65.1,0.03773584905660377,495,956,90,0.842857142857143,0.42857142857142855,0.2552083333333333,0,0.8,1.0,0,1.973684210526316,39.21999999999999,0.6194669509594883,0.46225700178378853,0.39925595238095235,1.0,0.0,0.5400521688357911,0.5712328767123287,0.5447292750172718,7
CAND_0000665,0.37142857142857144,10,0.25,2,28.3,202,0.7300995024875622,0.821917808219178,0.17241379310344826,173.2,0.43396226415094336,21,110,90,0.8857142857142857,0.2857142857142857,0.298611111111111,0,0.8,0.4,0,1.6129032258064515,44.52000000000001,0.6247441364605544,0.5947099911256202,0.3204365079365079,0.4,0.0,0.48894877979347273,0.821917808219178,0.5388941340573286,8
CAND_0000001,0.4214285714285715,17,0.125,1,24.823529411764707,292,0.12686567164179102,0.8479452054794521,0.3448275862068966,177.8,0.07547169811320754,249,356,60,0.5857142857142856,0.8571428571428571,0.6458333333333333,0,0.8,0.4,0,2.463768115942029,37.45000000000001,0.6152025586353945,0.515224915235031,0.3773809523809524,0.4,0.0,0.4834712445964021,0.8479452054794521,0.5381423387288596,9
CAND_0001469,0.6214285714285713,9,0.5,1,24.55555555555556,99,0.3669154228855721,0.8575342465753424,0.8275862068965516,28.2,0.1509433962264151,150,210,90,0.5571428571428572,0.14285714285714285,0.26666666666666666,0,0.6000000000000001,0.6000000000000001,0,0.9278350515463918,47.67,0.3929317697228145,0.6486507886993622,0.514047619047619,0.6000000000000001,0.0,0.475414770390903,0.8575342465753424,0.5327326918185689,10
CAND_0001086,0.5,14,0.25,1,21.642857142857142,151,0.6007462686567163,0.8369863013698629,0.29885057471264365,118.2,0.49056603773584906,438,947,30,0.7714285714285714,0.42857142857142855,0.44444444444444436,0,0.4,0.6000000000000001,0,1.75,45.1,0.4687953091684435,0.6200567709904969,0.41388888888888886,0.6000000000000001,0.0,0.475001700087699,0.8369863013698629,0.5292993902800236,11
CAND_0001600,0.37142857142857144,16,0.125,1,25.75,204,0.907960199004975,0.8863013698630136,0.43678160919540227,41.7,0.1509433962264151,669,1238,120,0.5142857142857145,0.2857142857142857,0.5520833333333333,0,0.4,0.6000000000000001,0,2.5806451612903225,45.19000000000001,0.5181023454157783,0.5524467038533312,0.3336309523809524,0.6000000000000001,0.0,0.4611380170322157,0.8863013698630136,0.5249125199568353,12
CAND_0001475,0.34285714285714286,19,0.25,1,25.73684210526316,233,0.7512437810945273,0.8164383561643833,0.7816091954022988,56.5,0.09433962264150943,163,903,60,0.7285714285714286,0.42857142857142855,0.2708333333333333,0,0.4,0.6000000000000001,0,3.2758620689655173,50.81,0.5139445628997867,0.6457379337506965,0.30059523809523814,0.6000000000000001,0.0,0.4698742214338636,0.8164383561643833,0.5218588416434415,13
CAND_0001248,0.30000000000000004,8,0.125,1,21.375,65,0.0,0.6452054794520548,0.4942528735632183,80.9,0.5471698113207547,62,729,90,0.5285714285714287,0.7142857142857142,0.43749999999999994,0,0.8,1.0,0,1.5384615384615383,39.370000000000005,0.5342857142857143,0.5645333841774605,0.275,1.0,0.0,0.49537096254977786,0.6452054794520548,0.5178461400851194,14
CAND_0001503,0.8642857142857142,5,0.625,1,18.4,36,0.5945273631840795,0.7671232876712328,0.2528735632183908,206.5,0.22641509433962265,95,439,90,0.6857142857142857,0.42857142857142855,0.329861111111111,0,0.2,0.4,0,0.3816793893129771,40.07999999999999,0.38692963752665244,0.5141374175003108,0.6856150793650794,0.4,0.0,0.469003108351993,0.7671232876712328,0.513721135249879,15
CAND_0001733,0.5714285714285714,13,0.5,1,22.615384615384617,131,0.7823383084577114,0.4534246575342466,0.41379310344827586,219.3,0.0,203,727,30,0.14285714285714296,0.42857142857142855,0.2375,0,1.0,0.4,0,1.4444444444444444,32.71,0.763272921108742,0.29071833457048385,0.4832142857142857,0.4,0.0,0.524256406786165,0.4534246575342466,0.5136316443983773,16
CAND_0001597,0.6071428571428571,12,0.25,1,19.08333333333333,115,0.5111940298507462,0.763013698630137,0.9195402298850575,114.9,0.1509433962264151,75,487,90,0.4857142857142858,0.14285714285714285,0.5763888888888886,0,0.6000000000000001,0.4,0,1.263157894736842,48.25,0.4362153518123668,0.6242713883799526,0.49384920634920626,0.4,0.0,0.46280271998823874,0.763013698630137,0.5078343667845234,17
CAND_0000947,0.19999999999999998,16,0.125,1,22.375,228,0.2462686567164179,0.7767123287671232,0.4827586206896552,121.0,0.49056603773584906,236,63,90,0.7428571428571429,0.7142857142857142,0.2604166666666667,0,0.8,0.4,0,4.2105263157894735,44.62,0.6081663113006396,0.6392236063595053,0.18958333333333333,0.4,0.0,0.45850707912549027,0.7767123287671232,0.5062378665717352,18
CAND_0001650,0.6071428571428571,12,0.25,1,20.416666666666668,181,0.24378109452736318,0.6999999999999997,0.13793103448275862,185.5,0.2641509433962264,146,367,30,0.31428571428571433,0.42857142857142855,0.5833333333333333,0,0.8,0.6000000000000001,0,1.263157894736842,31.03,0.5217057569296376,0.3951700901570777,0.4952380952380952,0.6000000000000001,0.0,0.4715258446127944,0.6999999999999997,0.5057969679208751,19
