candidate_id,experience,num_skills,career_length,education_count,avg_skill_duration,total_endorsements,github,profile_complete,response_rate,response_time,saved,searches,connections,notice,interview_rate,production_ai_skills,avg_job_duration,job_hopper,production_score,startup_score,research_score,skill_experience_ratio,quality_score,technical_score,behavior_score,career_score,innovation_score,penalty,recruiter_score,confidence,final_score,rank,semantic_score,ranking_score
CAND_0001085,0.3214285714285714,14,0.375,2,21.714285714285715,167,0.8694029850746269,0.5383561643835615,0.2068965517241379,28.4,0.3018867924528302,368,528,60,0.4428571428571429,0.4285714285714285,0.1302083333333333,1,0.8,1.0,0,2.5454545454545454,36.64999999999999,0.7093923240938167,0.3890975825272756,0.2992559523809524,1.0,0.05,0.4863904342382198,0.5114383561643834,0.4901476225271444,1,0.91543627,0.7453208574062435
CAND_0001182,0.5857142857142856,6,0.25,1,16.833333333333332,35,0.0,0.7602739726027397,0.0114942528735632,160.4,0.0,174,287,90,0.7,0.1428571428571428,0.5486111111111112,0,0.2,0.4,2,0.6521739130434783,29.15000000000001,0.1228571428571428,0.4089694536293496,0.477579365079365,0.4,0.0,0.2903315891385684,0.7602739726027397,0.360822946658194,2,0.9704712,0.726611900659585
CAND_0001069,0.6357142857142858,9,0.25,1,21.0,93,0.0,0.4410958904109589,0.8160919540229885,217.2,0.0188679245283018,63,20,30,0.5428571428571429,0.0,0.6041666666666667,0,0.2,0.4,0,0.9090909090909092,36.99000000000001,0.08,0.4707515636266717,0.5136904761904763,0.4,0.0,0.2945729317729534,0.4410958904109589,0.3165513755686542,3,0.9679065,0.7073644591096028
CAND_0001109,0.6642857142857144,17,0.5,1,13.470588235294118,91,0.3296019900497512,0.6465753424657534,0.1034482758620689,97.3,0.0943396226415094,113,192,60,0.3714285714285715,0.5714285714285714,0.2916666666666667,0,0.2,0.4,0,1.6504854368932038,29.340000000000007,0.3503091684434968,0.3453170776425471,0.5404761904761906,0.4,0.0,0.3843061305249557,0.6465753424657534,0.4236465123160754,4,0.89038736,0.7036910425370564
CAND_0000859,0.35,12,0.125,1,26.08333333333333,165,0.9365671641791044,0.8630136986301369,0.8390804597701149,23.6,0.1698113207547169,462,797,90,0.3142857142857143,0.2857142857142857,0.5208333333333333,0,0.2,0.4,0,2.0338983050847457,49.98,0.446684434968017,0.6086443164711629,0.3166666666666666,0.4,0.0,0.4195693039481061,0.8630136986301369,0.4860859631504106,5,0.83287424,0.6941589521966571
CAND_0001482,0.3214285714285714,12,0.125,2,14.416666666666666,109,0.0,0.8534246575342463,0.1149425287356321,108.7,0.0754716981132075,225,235,90,0.8571428571428572,0.2857142857142857,0.4687499999999999,0,0.6000000000000001,0.4,0,2.1818181818181817,34.96000000000001,0.3257142857142857,0.5139571733721072,0.2919642857142857,0.4,0.0,0.3460682203887072,0.8534246575342463,0.422171685960538,6,0.85506177,0.6819057599173572
CAND_0000874,0.3785714285714285,13,0.25,1,18.307692307692307,169,0.0,0.5150684931506848,0.632183908045977,158.9,0.2075471698113207,285,147,120,0.5571428571428572,0.1428571428571428,0.3124999999999999,0,1.0,1.0,0,2.063492063492064,37.17,0.4428571428571429,0.4912579550050695,0.3267857142857143,1.0,0.0,0.4570908767152996,0.5150684931506848,0.4657875191806073,7,0.82186514,0.6794340984677599
CAND_0001598,0.6785714285714286,5,0.5,2,11.8,34,0.0,0.7191780821917808,0.1034482758620689,234.8,0.1886792452830188,178,24,30,0.3428571428571429,0.1428571428571428,0.3041666666666666,0,0.2,0.4,2,0.4761904761904761,27.90000000000001,0.1228571428571428,0.3838816753606728,0.5501190476190476,0.4,0.0,0.3034489541197537,0.7191780821917808,0.3658083233305577,8,0.8853801,0.6775513948229457
CAND_0001153,0.7214285714285714,8,0.375,1,18.375,77,0.0,0.284931506849315,0.6781609195402298,146.4,0.0566037735849056,141,79,60,0.2,0.0,0.4739583333333333,0,0.2,0.4,0,0.7207207207207208,29.01,0.08,0.3205870119992988,0.5680059523809524,0.4,0.0,0.2781188904950978,0.284931506849315,0.2791407829482304,9,0.94118774,0.6763689568026442
CAND_0000510,0.6428571428571428,14,0.375,2,19.0,94,0.0,0.3534246575342465,0.7931034482758621,88.0,0.0754716981132075,54,595,30,0.1857142857142857,0.2857142857142857,0.4114583333333333,0,0.6000000000000001,0.2,0,1.4,32.36,0.3257142857142857,0.3742116889714504,0.5162202380952381,0.2,0.0,0.3541831116038139,0.3534246575342465,0.3540693434933788,10,0.8852522,0.6727790917102483
